voter_id,party,age_group,education,income_bracket,race,political_engagement,trust_institutions,voted_2020,ideology_score
374,Republican,45-64,Graduate,<30k,Hispanic,80.3,42,TRUE,4.5
375,Independent,45-64,Graduate,<30k,Hispanic,73.2,41.4,FALSE,3.4
376,Republican,65+,College,30-60k,Black,31.5,27.1,TRUE,4.4
377,Democrat,45-64,HS,>100k,Black,50.7,44.8,TRUE,4.2
378,Republican,45-64,College,30-60k,White,59.2,64.2,TRUE,5.1
379,Democrat,65+,College,<30k,White,72,22.6,TRUE,6
380,Democrat,30-44,College,30-60k,Black,58.9,55.6,TRUE,2.5
381,Republican,18-29,Graduate,<30k,Hispanic,66.8,85.8,TRUE,5.4
382,Republican,65+,Graduate,60-100k,Black,32.1,40.7,TRUE,3.5
383,Republican,45-64,HS,60-100k,White,4.7,63.1,TRUE,3.8
384,Democrat,30-44,HS,>100k,Black,31.7,52.5,FALSE,3.5
385,Other,65+,Graduate,<30k,Black,60,50,TRUE,4.2
386,Independent,65+,Graduate,<30k,Hispanic,42.1,22.5,TRUE,5.2
387,Independent,45-64,Some College,<30k,Asian,38.6,46.2,FALSE,3.1
388,Independent,65+,Some College,>100k,Black,79.6,15.4,TRUE,4.4
389,Democrat,45-64,Some College,60-100k,White,62.4,61,TRUE,5.1
390,Independent,65+,Graduate,60-100k,White,49,49,FALSE,3
391,Other,30-44,HS,60-100k,White,48.1,34.2,FALSE,1
392,Democrat,65+,Graduate,>100k,White,42.3,52.4,TRUE,6.2
393,Democrat,30-44,Graduate,>100k,Asian,51.3,39.6,TRUE,2.6
394,Republican,18-29,Graduate,<30k,Black,81.1,24.1,FALSE,5.8
395,Independent,45-64,College,30-60k,Black,44.6,52.7,TRUE,1
396,Democrat,45-64,HS,<30k,Black,49.5,34.3,TRUE,5.2
397,Republican,18-29,HS,30-60k,Black,37.2,44.3,FALSE,2.3
398,Republican,18-29,College,>100k,White,36.8,53.4,FALSE,4.4
399,Independent,30-44,College,<30k,White,53.3,51.5,FALSE,3.8
400,Democrat,18-29,Some College,30-60k,White,58.8,12.1,FALSE,3.8
401,Democrat,65+,Some College,<30k,Black,43.5,60,FALSE,3.6
402,Republican,65+,Some College,60-100k,White,31.6,61.7,TRUE,1.6
403,Democrat,65+,HS,30-60k,White,9.3,56.5,FALSE,4.4
404,Independent,30-44,Graduate,<30k,Asian,6.1,32.8,FALSE,4.9
405,Democrat,65+,HS,>100k,Hispanic,30,39.2,FALSE,1
406,Independent,45-64,College,60-100k,Hispanic,15,61.4,FALSE,3.9
407,Republican,18-29,College,<30k,White,69.1,34.3,FALSE,3.3
408,Republican,30-44,Some College,>100k,Other,62.3,24.6,TRUE,2.7
409,Independent,30-44,College,>100k,Black,40.7,37.1,TRUE,5.5
410,Republican,18-29,College,60-100k,Hispanic,38,13.8,FALSE,4.4
411,Republican,65+,Graduate,<30k,Asian,75.2,28.3,FALSE,2.9
412,Republican,30-44,HS,>100k,Asian,66.8,98.7,TRUE,7
413,Republican,65+,HS,30-60k,Asian,73.4,15,FALSE,3.9
414,Democrat,45-64,HS,>100k,White,25.1,40.8,TRUE,4.1
415,Independent,18-29,HS,<30k,White,64.1,50.5,FALSE,3.4
416,Independent,65+,HS,30-60k,White,28.7,31.5,TRUE,3
417,Independent,65+,Some College,30-60k,White,36.4,87.6,TRUE,4.2
418,Independent,45-64,HS,60-100k,White,40.4,16.6,TRUE,5
419,Democrat,65+,Graduate,60-100k,Hispanic,0.2,31.5,TRUE,4.6
420,Democrat,65+,Some College,<30k,Hispanic,17.6,24.4,TRUE,2.9
421,Republican,45-64,Graduate,30-60k,Black,97,27,TRUE,6.4
422,Independent,30-44,Some College,60-100k,White,77.8,53.2,TRUE,3.2
423,Democrat,45-64,Graduate,60-100k,White,51.7,40.9,FALSE,3.9
424,Independent,65+,HS,60-100k,Hispanic,48.9,46.5,FALSE,1.9
425,Republican,65+,HS,30-60k,Hispanic,72.7,60.6,TRUE,2.4
426,Republican,45-64,Graduate,30-60k,White,45.5,36.7,FALSE,4.5
427,Democrat,30-44,Some College,60-100k,White,83.5,0,FALSE,3.8
428,Republican,30-44,College,30-60k,Black,17.5,34.8,FALSE,1.9
429,Republican,30-44,Graduate,30-60k,White,35.2,70.9,TRUE,5.2
430,Republican,18-29,College,30-60k,White,62.6,67.1,FALSE,5.1
431,Republican,65+,Some College,>100k,White,60.3,64.1,TRUE,1.1
432,Republican,18-29,College,60-100k,Hispanic,26.2,53.3,FALSE,5.2
433,Democrat,65+,Graduate,>100k,White,49.6,82.3,TRUE,4.9
434,Republican,30-44,Graduate,<30k,White,66.1,87.2,TRUE,3.7
435,Republican,18-29,HS,60-100k,White,77,53.1,FALSE,4.5
436,Other,45-64,Graduate,60-100k,White,54.5,48.8,TRUE,1
437,Democrat,65+,Graduate,30-60k,Black,56.2,24.2,FALSE,4
438,Democrat,45-64,Some College,30-60k,White,45.9,65.5,FALSE,4.7
439,Democrat,45-64,HS,<30k,White,71,73.7,FALSE,4.1
440,Democrat,30-44,Graduate,30-60k,Hispanic,21.3,29.5,TRUE,5.5
441,Republican,18-29,Some College,60-100k,White,69.4,51.1,TRUE,3.9
442,Independent,45-64,College,<30k,White,31.9,42.5,TRUE,5.1
443,Republican,30-44,HS,60-100k,Black,65.7,27.6,TRUE,4.5
444,Democrat,18-29,Graduate,<30k,Hispanic,93.1,28.9,FALSE,1.5
445,Democrat,45-64,HS,>100k,Asian,87.6,25.5,FALSE,3
446,Democrat,65+,Some College,>100k,White,31.9,12.7,TRUE,5.4
447,Republican,45-64,Graduate,60-100k,White,46.4,47.9,FALSE,4
448,Republican,18-29,Graduate,>100k,White,43.3,62.1,TRUE,4.9
449,Democrat,65+,HS,<30k,White,26.9,33.2,FALSE,2.2
450,Democrat,18-29,HS,60-100k,White,57.8,50.3,FALSE,2.8
451,Other,65+,Graduate,30-60k,White,41.2,36.4,TRUE,6.7
452,Independent,30-44,College,>100k,White,48.7,41.3,TRUE,1.5
453,Democrat,65+,College,30-60k,White,45.5,34.2,FALSE,1.8
454,Independent,30-44,Some College,>100k,White,2.6,24,FALSE,3.5
455,Independent,30-44,Graduate,30-60k,White,59.1,45.3,TRUE,5
456,Democrat,45-64,Graduate,>100k,White,29.2,30.8,TRUE,3.7
457,Democrat,65+,HS,<30k,White,65,14.3,TRUE,6.6
458,Democrat,30-44,Graduate,>100k,Black,64.2,26.5,FALSE,4.2
459,Independent,45-64,Graduate,>100k,White,20,47,TRUE,4.1
460,Republican,45-64,Graduate,<30k,Black,41.2,44.2,TRUE,2.5
461,Other,18-29,College,60-100k,White,48.4,43.7,TRUE,2.4
462,Democrat,65+,College,>100k,Hispanic,59.2,76.7,FALSE,2.9
463,Republican,65+,Some College,30-60k,Asian,31,43.6,TRUE,4.3
464,Democrat,45-64,Graduate,30-60k,White,74.4,49,FALSE,4.1
465,Republican,18-29,HS,60-100k,White,61.1,45.6,TRUE,3.4
466,Democrat,45-64,Graduate,30-60k,White,36.2,55.9,FALSE,4.4
467,Democrat,65+,Some College,>100k,White,45.8,54.4,FALSE,3.1
468,Republican,45-64,HS,60-100k,White,52.2,45.7,FALSE,1.5
469,Other,30-44,HS,<30k,White,73.4,83.8,TRUE,2.3
470,Independent,30-44,College,<30k,Hispanic,55.6,6.1,FALSE,3.1
471,Independent,45-64,HS,>100k,Hispanic,65.8,43.7,TRUE,4.9
472,Republican,65+,Graduate,<30k,Hispanic,60.7,30.2,TRUE,6.8
473,Democrat,45-64,HS,<30k,White,35,42.4,TRUE,5.5
474,Republican,65+,Graduate,<30k,Hispanic,73.1,66.3,TRUE,4.1
475,Independent,30-44,Some College,60-100k,White,38.4,39.5,TRUE,3.7
476,Republican,45-64,College,60-100k,White,49.5,38.5,TRUE,3.3
477,Democrat,18-29,Graduate,60-100k,Hispanic,68,14.6,TRUE,1.3
478,Republican,45-64,College,30-60k,Hispanic,62.9,30,FALSE,1
479,Democrat,65+,College,>100k,Hispanic,65.9,48.8,FALSE,4.6
480,Republican,45-64,Some College,<30k,White,50.6,5.7,TRUE,2.5
481,Independent,65+,Some College,60-100k,Asian,76,20.5,FALSE,3.8
482,Republican,45-64,College,30-60k,White,56.6,16,TRUE,7
483,Republican,18-29,HS,<30k,White,31.8,71.6,TRUE,2
484,Independent,45-64,Some College,60-100k,White,45.5,53.4,TRUE,2.9
485,Other,30-44,College,<30k,Asian,34.6,69.2,FALSE,5.8
486,Democrat,18-29,Some College,60-100k,White,45.9,34,TRUE,3.4
487,Republican,45-64,Some College,<30k,Asian,37.3,14.6,FALSE,2.8
488,Republican,65+,College,30-60k,Black,85.7,15.9,TRUE,5.2
489,Independent,30-44,Some College,<30k,White,54.3,11.7,TRUE,3.8
490,Republican,45-64,Graduate,30-60k,White,2,57,TRUE,1.4
491,Democrat,18-29,Graduate,>100k,White,55.3,6.8,FALSE,5.6
492,Democrat,65+,Graduate,<30k,White,51.5,52.7,TRUE,4.2
493,Independent,65+,HS,>100k,White,81.4,0,FALSE,5.8
494,Republican,65+,Some College,<30k,Hispanic,40.2,22.1,TRUE,3.9
495,Independent,65+,Some College,60-100k,Asian,44.3,38.3,FALSE,1.9
496,Democrat,30-44,Some College,>100k,White,35.8,61.6,FALSE,4.2
497,Independent,18-29,Graduate,60-100k,White,74.7,60.5,TRUE,2.7
498,Democrat,30-44,College,<30k,White,30.8,50,FALSE,7
499,Democrat,45-64,Some College,60-100k,White,51.6,46.2,FALSE,3.5
500,Democrat,65+,Some College,30-60k,White,100,61.2,TRUE,5.1
