employee_id,salary,gender,years_experience,department,performance_rating,hours_worked,has_mentor,leadership_role,education_level
372,61.8,Male,30,Engineering,4.5,46.8,TRUE,FALSE,Bachelors
373,108,Non-binary,24,Finance,3.6,49.4,FALSE,FALSE,Bachelors
374,66,Male,20,Finance,3.3,42.1,TRUE,FALSE,Bachelors
375,100,Female,26,HR,3.3,33.5,FALSE,TRUE,Bachelors
376,33.7,Female,21,Sales,3.3,31.6,FALSE,FALSE,Masters
377,123.2,Non-binary,21,HR,2.5,41,TRUE,FALSE,Bachelors
378,31.2,Male,13,HR,2.8,42.1,FALSE,FALSE,Bachelors
379,63.7,Female,21,Finance,4.9,36.8,TRUE,FALSE,Bachelors
380,62.9,Non-binary,18,Engineering,3.2,45.8,FALSE,FALSE,Bachelors
381,77.9,Female,14,Sales,2.1,48.4,FALSE,FALSE,Masters
382,40.3,Non-binary,4,Marketing,2.4,46.7,TRUE,TRUE,Masters
383,42.9,Male,3,HR,3.3,39.8,FALSE,FALSE,PhD
384,57.3,Male,12,Sales,3.7,38.9,TRUE,FALSE,Bachelors
385,84.8,Male,28,Engineering,4,39.9,FALSE,FALSE,HS
386,59.5,Male,29,HR,4.3,44.3,FALSE,FALSE,Masters
387,77,Male,22,HR,4.3,46.1,FALSE,TRUE,HS
388,67.3,Male,13,Sales,3.1,30.6,TRUE,FALSE,Masters
389,43.8,Female,11,HR,2.5,43.7,TRUE,FALSE,HS
390,67.5,Female,0,Engineering,4.2,43.2,FALSE,FALSE,Bachelors
391,77.5,Female,15,Engineering,2.9,42.6,TRUE,FALSE,Bachelors
392,95.7,Male,10,HR,3.3,49.4,FALSE,TRUE,Masters
393,73.8,Male,22,Marketing,4,49.6,FALSE,FALSE,Bachelors
394,55.5,Male,29,Finance,2.3,48.6,TRUE,FALSE,Masters
395,30,Male,21,Finance,3.1,49.2,TRUE,TRUE,Bachelors
396,59.1,Female,6,Sales,4.4,42.2,FALSE,FALSE,Bachelors
397,63.5,Male,20,Finance,3.7,41.3,FALSE,FALSE,Bachelors
398,71.6,Male,1,Sales,3.6,38.7,TRUE,FALSE,HS
399,63.7,Male,4,Finance,3.5,30,FALSE,FALSE,Masters
400,67.3,Male,3,Finance,1.9,47.9,FALSE,TRUE,PhD
