"proj_id","recipient_country","start_year","sector","commitment_usd_m","implementation_years","completed","eval_score"
573,"C26",2008,"Infrastructure",19.3,4,1,4
574,"C37",2017,"Health",15.9,4,1,5
575,"C31",2001,"Infrastructure",10.7,5,1,3
576,"C08",2008,"Education",10.4,2,1,1
577,"C03",2004,"Education",14,4,1,3
578,"C30",2018,"Other",19.2,4,1,2
579,"C57",2013,"Education",30.4,7,0,NA
580,"C76",2022,"Governance",16.9,4,1,2
581,"C70",2013,"Governance",3.9,3,0,NA
582,"C88",2007,"Infrastructure",25.8,2,1,5
583,"C21",2001,"Infrastructure",24.7,3,1,4
584,"C47",2003,"Other",68.7,4,1,1
585,"C28",2017,"Health",29.8,7,1,3
586,"C66",2020,"Infrastructure",2.1,2,1,1
587,"C62",2002,"Governance",9.1,7,0,NA
588,"C45",2001,"Governance",25.6,6,1,3
589,"C77",2020,"Governance",32.2,8,0,NA
590,"C38",2014,"Health",14.3,3,0,NA
591,"C57",2005,"Other",21.9,8,1,3
592,"C49",2004,"Education",11.7,7,1,4
593,"C31",2000,"Infrastructure",6.4,5,1,3
594,"C11",2011,"Governance",77.5,4,1,3
595,"C48",2013,"Health",5.3,2,1,2
596,"C53",2007,"Health",19.6,2,1,3
597,"C45",2021,"Infrastructure",5.5,8,1,2
598,"C03",2009,"Other",7.7,5,1,3
599,"C90",2015,"Infrastructure",36.8,2,1,4
600,"C59",2022,"Education",7.1,7,1,5
601,"C78",2024,"Health",14,5,1,4
602,"C62",2019,"Health",8.2,8,1,4
603,"C58",2020,"Other",42.5,1,1,4
604,"C79",2002,"Governance",18.8,1,1,3
605,"C47",2013,"Governance",9.7,4,1,3
606,"C24",2000,"Health",19.4,4,1,4
607,"C52",2017,"Governance",182.3,7,1,3
608,"C36",2008,"Education",27.3,7,0,NA
609,"C25",2016,"Education",2,3,1,3
610,"C75",2022,"Health",4.5,8,1,3
611,"C65",2009,"Health",16.6,7,1,4
612,"C25",2020,"Health",6.1,6,1,3
613,"C58",2018,"Health",23.8,2,1,2
614,"C24",2012,"Education",27.4,2,1,3
615,"C43",2022,"Infrastructure",11.4,7,1,3
616,"C02",2006,"Education",2.4,7,1,3
617,"C81",2015,"Education",2.8,8,1,2
618,"C58",2017,"Infrastructure",7.7,5,0,NA
619,"C28",2012,"Other",16,6,1,3
620,"C60",2006,"Other",29.5,7,1,3
621,"C09",2007,"Education",31,7,0,NA
622,"C45",2003,"Infrastructure",8.5,7,1,4
623,"C09",2011,"Education",17.2,3,1,4
624,"C14",2011,"Governance",45.1,5,0,NA
625,"C11",2005,"Education",4.9,3,0,NA
626,"C46",2023,"Infrastructure",57.6,8,1,4
627,"C74",2019,"Other",3.2,1,1,3
628,"C43",2008,"Infrastructure",8.5,3,1,3
629,"C16",2022,"Other",15.6,6,1,5
630,"C54",2008,"Education",23.9,6,1,3
631,"C63",2017,"Education",16.3,1,1,5
632,"C38",2016,"Education",10.6,3,1,3
633,"C33",2017,"Education",63.7,4,1,3
634,"C87",2022,"Infrastructure",22.7,6,1,4
635,"C35",2008,"Education",3.8,7,0,NA
636,"C64",2015,"Other",7.3,2,1,4
637,"C46",2012,"Other",18.5,8,1,5
638,"C30",2000,"Governance",59.9,1,1,3
639,"C69",2007,"Governance",6.1,2,1,3
640,"C12",2016,"Other",7,4,1,4
641,"C26",2009,"Education",23.5,6,1,4
642,"C08",2019,"Other",9.6,4,1,3
643,"C42",2016,"Infrastructure",15.8,7,0,NA
644,"C53",2002,"Education",73.1,3,1,3
645,"C45",2019,"Infrastructure",15,2,1,4
646,"C60",2003,"Infrastructure",9.5,2,1,5
647,"C29",2007,"Other",48.2,4,1,4
648,"C22",2017,"Other",20.1,3,1,5
649,"C01",2000,"Other",65.8,4,1,2
650,"C64",2023,"Education",8.6,4,1,3
651,"C89",2011,"Health",27.3,6,1,3
652,"C36",2023,"Education",4.2,5,1,1
653,"C02",2004,"Governance",15.4,1,1,5
654,"C49",2024,"Education",26.2,5,0,NA
655,"C26",2001,"Infrastructure",63.4,6,0,NA
656,"C33",2022,"Infrastructure",4.2,1,1,5
657,"C61",2022,"Governance",8.1,8,0,NA
658,"C40",2020,"Education",4.9,7,1,3
659,"C76",2014,"Governance",44.4,4,0,NA
660,"C85",2000,"Education",12.9,1,1,3
661,"C23",2019,"Infrastructure",46.3,7,1,4
662,"C55",2024,"Health",18.5,5,1,5
663,"C54",2000,"Other",72.3,1,1,5
664,"C41",2012,"Other",23.5,3,1,3
665,"C50",2001,"Education",2.7,7,0,NA
666,"C26",2013,"Infrastructure",17.9,1,1,1
667,"C11",2008,"Infrastructure",9.8,3,1,4
668,"C58",2011,"Health",76.5,4,1,3
669,"C47",2016,"Education",43.3,1,0,NA
670,"C79",2013,"Health",18,1,1,2
671,"C38",2021,"Infrastructure",16.1,8,1,1
672,"C62",2024,"Governance",25.6,3,0,NA
673,"C22",2019,"Health",42.3,5,0,NA
674,"C51",2001,"Education",10.2,3,0,NA
675,"C11",2004,"Governance",29.6,7,0,NA
676,"C11",2024,"Other",10.4,6,1,3
677,"C45",2009,"Other",5,1,1,4
678,"C75",2022,"Other",21.6,7,0,NA
679,"C34",2015,"Education",3.6,1,1,2
680,"C84",2006,"Education",11.2,5,1,4
681,"C37",2021,"Infrastructure",23.8,2,1,4
682,"C75",2006,"Other",7.5,7,1,4
683,"C17",2016,"Governance",11.1,8,0,NA
684,"C40",2014,"Health",16.5,6,1,3
685,"C73",2013,"Governance",8.7,5,0,NA
686,"C56",2017,"Other",12.5,6,1,3
687,"C78",2007,"Health",4.6,5,1,3
688,"C84",2022,"Other",10.1,6,1,4
689,"C82",2023,"Infrastructure",48,3,0,NA
690,"C05",2016,"Other",34.2,6,1,4
691,"C27",2001,"Other",2.5,5,0,NA
692,"C28",2005,"Infrastructure",27.3,7,0,NA
693,"C27",2010,"Education",32.8,4,1,3
694,"C37",2002,"Governance",9.4,8,0,NA
695,"C62",2014,"Infrastructure",9.4,4,1,5
696,"C63",2012,"Education",5,5,1,4
697,"C41",2016,"Infrastructure",4.8,7,1,5
698,"C03",2015,"Health",15.9,3,0,NA
699,"C11",2003,"Health",15,4,1,2
700,"C49",2012,"Other",4.9,7,1,3
701,"C79",2019,"Infrastructure",15.3,8,1,3
702,"C47",2011,"Education",18.5,3,0,NA
703,"C25",2023,"Other",15.7,4,0,NA
704,"C20",2016,"Education",5.4,1,1,4
705,"C68",2005,"Health",3.3,2,1,4
706,"C70",2015,"Health",24.9,1,1,5
707,"C74",2010,"Other",2.4,4,1,2
708,"C87",2018,"Education",6,2,1,3
709,"C39",2022,"Other",8.5,8,1,3
710,"C74",2007,"Infrastructure",10.2,6,1,3
711,"C76",2020,"Other",6.1,2,1,4
712,"C03",2012,"Health",57.9,2,0,NA
713,"C79",2005,"Education",18,8,1,1
714,"C63",2015,"Other",2.4,4,1,4
715,"C77",2003,"Education",18.1,5,1,4
716,"C76",2023,"Governance",19.6,3,0,NA
717,"C81",2000,"Governance",20.3,5,1,4
718,"C79",2004,"Education",31.1,2,1,3
719,"C22",2023,"Health",31.1,2,1,4
720,"C01",2012,"Health",2.3,5,1,3
721,"C56",2021,"Health",15.8,5,1,4
722,"C85",2003,"Infrastructure",5.2,3,1,4
723,"C02",2012,"Education",8.5,3,1,2
724,"C47",2010,"Governance",23.8,7,0,NA
725,"C75",2005,"Health",9.3,1,1,3
726,"C12",2022,"Other",54.3,5,1,4
727,"C59",2005,"Education",33.1,5,1,3
728,"C49",2020,"Education",10.7,2,1,3
729,"C39",2019,"Other",26.5,5,0,NA
730,"C85",2016,"Infrastructure",25.1,7,1,4
731,"C47",2020,"Health",6.5,2,1,5
732,"C50",2000,"Infrastructure",86.7,7,1,1
733,"C04",2005,"Health",2.3,8,0,NA
734,"C85",2012,"Other",36.4,7,1,4
735,"C42",2007,"Health",9,5,1,2
736,"C30",2021,"Other",10.1,5,1,3
737,"C31",2023,"Infrastructure",22.6,6,1,4
738,"C57",2021,"Health",44.6,5,1,3
739,"C02",2007,"Governance",7.1,4,0,NA
740,"C12",2002,"Health",9.9,5,1,4
741,"C16",2000,"Infrastructure",14.3,4,1,3
742,"C57",2010,"Governance",12.8,4,1,5
743,"C57",2008,"Education",7.5,1,1,3
744,"C53",2008,"Infrastructure",47.4,5,1,2
745,"C16",2013,"Health",6.3,5,1,4
746,"C45",2022,"Education",11.3,4,1,2
747,"C56",2022,"Other",6.3,7,1,3
748,"C49",2020,"Governance",2.3,3,0,NA
749,"C57",2018,"Infrastructure",15.1,7,0,NA
750,"C51",2001,"Education",55.9,5,1,5
751,"C42",2009,"Education",24.5,6,1,4
752,"C47",2011,"Education",15.3,3,1,4
753,"C43",2017,"Infrastructure",4.4,1,1,2
754,"C16",2021,"Infrastructure",11.4,5,1,4
755,"C74",2001,"Governance",25.6,3,1,4
756,"C39",2004,"Other",36.4,3,0,NA
757,"C20",2016,"Education",10.1,3,1,4
758,"C06",2016,"Health",66.4,5,1,2
759,"C18",2009,"Other",27.6,7,0,NA
760,"C59",2020,"Infrastructure",8.1,2,1,4
761,"C16",2015,"Infrastructure",8.2,6,0,NA
762,"C44",2012,"Infrastructure",12.1,6,1,5
763,"C02",2006,"Infrastructure",13.2,7,1,3
764,"C08",2020,"Health",25.3,2,1,1
765,"C59",2006,"Education",12.9,5,1,4
766,"C66",2018,"Other",103.4,6,1,3
767,"C12",2019,"Education",29.1,2,1,4
768,"C15",2006,"Education",12.3,3,1,4
769,"C35",2017,"Other",12.9,7,0,NA
770,"C35",2002,"Health",7.5,6,1,2
771,"C85",2000,"Infrastructure",55.1,2,1,2
772,"C02",2023,"Governance",31.1,8,1,4
773,"C43",2022,"Governance",17.7,7,1,5
774,"C46",2021,"Other",18.4,1,1,4
775,"C50",2020,"Education",8.9,3,0,NA
776,"C14",2005,"Education",4.4,8,1,3
777,"C56",2003,"Infrastructure",7.8,6,0,NA
778,"C60",2009,"Infrastructure",28.4,8,1,1
779,"C35",2011,"Infrastructure",19.5,3,1,3
780,"C37",2021,"Infrastructure",40.6,5,1,4
781,"C90",2023,"Other",17.6,8,1,5
782,"C32",2003,"Health",11.2,6,1,4
783,"C44",2014,"Education",78.3,6,1,4
784,"C51",2023,"Other",24.9,8,1,3
785,"C29",2003,"Education",7.7,8,1,4
786,"C31",2009,"Infrastructure",6,2,1,3
787,"C55",2002,"Health",35.1,2,0,NA
788,"C19",2011,"Education",33.2,2,1,5
789,"C22",2001,"Education",55.6,3,1,2
790,"C26",2000,"Education",22.2,3,1,5
791,"C08",2022,"Infrastructure",11.1,6,0,NA
792,"C05",2012,"Governance",22.3,5,1,4
793,"C79",2016,"Other",53.3,7,1,4
794,"C90",2017,"Education",18.8,4,1,3
795,"C64",2014,"Governance",3.1,1,1,4
796,"C83",2010,"Infrastructure",5,7,1,3
797,"C21",2020,"Infrastructure",34.3,3,1,5
798,"C68",2019,"Other",85.6,6,1,2
799,"C68",2017,"Other",16.9,4,1,1
800,"C79",2011,"Health",2.5,4,1,3
801,"C08",2011,"Education",10.2,8,1,3
802,"C84",2011,"Infrastructure",23.9,2,1,4
803,"C84",2015,"Education",18.9,2,0,NA
804,"C66",2003,"Other",21.5,4,0,NA
805,"C34",2007,"Other",21.1,8,1,4
806,"C69",2021,"Infrastructure",2.6,5,1,4
807,"C08",2015,"Governance",58,8,1,2
808,"C16",2011,"Other",4.7,7,1,3
809,"C26",2024,"Governance",8.5,3,1,2
810,"C09",2024,"Governance",19.4,4,1,3
811,"C11",2021,"Education",44.2,5,0,NA
812,"C07",2023,"Governance",2.9,2,1,3
813,"C50",2015,"Infrastructure",8.1,3,1,5
814,"C27",2002,"Infrastructure",26.2,8,1,3
815,"C27",2013,"Infrastructure",17.1,8,1,5
816,"C17",2005,"Infrastructure",12,3,1,3
817,"C07",2010,"Infrastructure",31.9,8,1,3
818,"C37",2004,"Other",19,6,1,5
819,"C60",2014,"Infrastructure",40.8,8,1,3
820,"C51",2008,"Infrastructure",35,6,1,4
821,"C88",2014,"Education",17.1,2,1,3
822,"C75",2016,"Infrastructure",10,8,0,NA
823,"C42",2024,"Governance",39.5,7,1,4
824,"C85",2022,"Education",3.8,3,1,5
825,"C19",2022,"Education",6.9,3,0,NA
826,"C53",2014,"Education",67.3,7,1,2
827,"C86",2004,"Other",93.9,6,1,3
828,"C04",2005,"Health",52.8,3,0,NA
829,"C55",2018,"Education",54.4,6,1,3
830,"C34",2003,"Governance",10.9,7,0,NA
831,"C82",2001,"Other",33.8,6,1,2
832,"C29",2013,"Education",20.9,6,1,5
833,"C10",2018,"Health",50.3,7,1,4
834,"C67",2020,"Infrastructure",49.5,4,1,3
835,"C13",2005,"Education",4.6,6,1,4
836,"C29",2007,"Education",13.9,8,1,3
837,"C54",2015,"Health",11.5,8,1,3
838,"C29",2015,"Infrastructure",3.3,8,1,4
839,"C36",2013,"Education",14.2,4,0,NA
840,"C53",2009,"Education",47.2,8,1,3
841,"C32",2020,"Education",8.6,7,1,3
842,"C55",2005,"Infrastructure",8.1,3,0,NA
843,"C74",2016,"Health",25.6,3,1,4
844,"C88",2024,"Infrastructure",10,2,1,4
845,"C20",2000,"Infrastructure",17.1,8,0,NA
846,"C73",2024,"Health",3.8,8,1,2
847,"C04",2001,"Infrastructure",12.6,5,1,5
848,"C74",2015,"Infrastructure",8.5,5,0,NA
849,"C74",2013,"Governance",40.4,4,0,NA
850,"C72",2006,"Education",14,5,1,3
851,"C81",2015,"Education",20.6,6,1,4
852,"C37",2015,"Education",18.5,1,1,3
853,"C09",2015,"Other",5.2,2,1,2
854,"C44",2012,"Health",5.9,6,1,3
855,"C07",2018,"Health",23.9,8,1,2
856,"C10",2009,"Education",4.6,6,1,1
857,"C52",2013,"Education",18.9,2,1,5
858,"C37",2020,"Education",49.4,5,1,2
859,"C81",2012,"Education",61.2,2,1,4
860,"C28",2011,"Education",7.6,3,1,3
861,"C04",2016,"Governance",34.5,4,0,NA
862,"C05",2015,"Other",3,4,1,5
863,"C21",2000,"Health",22.5,4,1,3
864,"C13",2024,"Health",11.7,6,0,NA
865,"C03",2012,"Education",9.7,3,1,1
866,"C50",2024,"Other",37,8,0,NA
867,"C87",2002,"Infrastructure",35.8,6,0,NA
868,"C63",2010,"Infrastructure",105.8,3,1,4
869,"C73",2008,"Governance",17.2,8,1,4
870,"C49",2003,"Education",8.6,8,0,NA
871,"C71",2002,"Other",63.5,4,1,5
872,"C36",2017,"Health",16.7,7,1,4
873,"C43",2021,"Infrastructure",26.4,4,1,2
874,"C51",2022,"Infrastructure",14.7,3,1,4
875,"C04",2003,"Education",64.6,5,0,NA
876,"C12",2007,"Infrastructure",4.2,8,0,NA
877,"C75",2019,"Infrastructure",48.2,6,1,5
878,"C87",2019,"Infrastructure",30.6,1,1,4
879,"C63",2023,"Education",36.7,1,0,NA
880,"C35",2010,"Education",4.8,2,1,3
881,"C77",2021,"Education",7.6,8,0,NA
882,"C33",2020,"Education",14.6,7,0,NA
883,"C78",2012,"Health",3.2,2,1,3
884,"C25",2017,"Governance",8.3,5,1,3
885,"C44",2015,"Infrastructure",9.4,7,0,NA
886,"C74",2002,"Infrastructure",14.9,4,1,3
887,"C32",2021,"Infrastructure",6.4,4,1,1
888,"C69",2014,"Infrastructure",17.1,2,1,5
889,"C26",2005,"Infrastructure",19.8,3,1,3
890,"C49",2002,"Education",4,2,1,3
891,"C59",2021,"Infrastructure",12.2,7,1,3
892,"C60",2020,"Infrastructure",14.1,2,1,5
893,"C86",2021,"Governance",11.1,8,1,5
894,"C83",2001,"Infrastructure",23.9,2,1,2
895,"C61",2006,"Education",13.8,6,1,3
896,"C69",2019,"Education",22,6,1,2
897,"C38",2013,"Other",14,5,0,NA
898,"C56",2009,"Governance",23.8,4,0,NA
899,"C27",2007,"Education",45.8,8,1,5
900,"C34",2017,"Governance",33.1,1,1,4
901,"C31",2007,"Education",24.2,4,1,3
902,"C06",2011,"Health",3.8,1,1,5
903,"C48",2000,"Education",48.4,7,1,2
904,"C17",2010,"Governance",2.7,1,0,NA
905,"C58",2021,"Infrastructure",32.3,1,1,1
906,"C76",2009,"Health",115.9,8,0,NA
907,"C82",2006,"Other",21.7,2,1,4
908,"C56",2019,"Infrastructure",13.2,8,1,3
909,"C18",2011,"Infrastructure",23,6,1,4
910,"C29",2023,"Education",33.5,8,1,5
911,"C21",2010,"Governance",3.3,2,1,4
912,"C33",2010,"Other",12.8,7,1,2
913,"C46",2017,"Infrastructure",5.4,3,1,2
914,"C21",2016,"Health",29.9,3,1,5
915,"C86",2003,"Infrastructure",23.9,4,1,1
916,"C14",2018,"Health",37.8,6,0,NA
917,"C31",2002,"Governance",9.8,4,0,NA
918,"C26",2015,"Infrastructure",9.1,5,1,2
919,"C20",2015,"Infrastructure",24.7,3,1,3
920,"C29",2021,"Other",101.9,6,1,3
921,"C73",2010,"Other",9.5,6,1,2
922,"C20",2002,"Infrastructure",13.5,1,1,1
923,"C42",2002,"Health",10.7,2,0,NA
924,"C15",2017,"Infrastructure",5.5,4,1,3
925,"C37",2021,"Infrastructure",4.5,5,1,3
926,"C37",2021,"Infrastructure",4.1,8,0,NA
927,"C03",2005,"Governance",41.4,1,1,3
928,"C11",2005,"Education",16.7,7,0,NA
929,"C33",2022,"Other",11.6,1,1,4
930,"C40",2003,"Infrastructure",9.7,7,1,5
931,"C36",2010,"Governance",5,2,1,3
932,"C38",2015,"Education",3.2,8,1,3
933,"C48",2013,"Health",3,6,0,NA
934,"C51",2023,"Education",14.5,3,1,3
935,"C14",2004,"Infrastructure",16.2,1,1,3
936,"C52",2001,"Governance",47.1,5,1,3
937,"C81",2000,"Health",38.3,2,1,3
938,"C58",2000,"Health",6.8,6,0,NA
939,"C44",2005,"Infrastructure",42.5,6,1,1
940,"C60",2020,"Infrastructure",41.9,3,1,3
941,"C64",2013,"Other",79.8,4,1,4
942,"C37",2008,"Health",18.3,8,1,1
943,"C04",2018,"Other",5.2,2,1,2
944,"C43",2005,"Governance",13.2,6,0,NA
945,"C61",2018,"Infrastructure",21.3,4,1,5
946,"C81",2011,"Infrastructure",28.5,4,1,4
947,"C24",2000,"Governance",4.5,1,1,3
948,"C08",2015,"Health",10.9,1,1,4
949,"C59",2021,"Infrastructure",14.5,2,1,3
950,"C07",2000,"Other",30,5,1,3
951,"C09",2003,"Other",74.3,4,1,3
952,"C45",2023,"Education",27.6,5,1,4
953,"C82",2016,"Education",17,2,1,3
954,"C55",2008,"Health",58.2,2,1,4
955,"C18",2023,"Infrastructure",32.7,6,1,3
956,"C68",2020,"Governance",21,4,0,NA
957,"C18",2009,"Governance",26.2,8,1,4
958,"C09",2013,"Education",3.3,3,1,3
959,"C61",2016,"Education",13.6,3,1,3
960,"C71",2014,"Infrastructure",8.6,6,1,3
961,"C31",2014,"Infrastructure",26,4,1,2
962,"C43",2021,"Education",19.8,3,1,3
963,"C04",2002,"Other",10.9,8,1,2
964,"C57",2010,"Education",19.2,7,0,NA
965,"C22",2019,"Other",38.1,6,0,NA
966,"C05",2024,"Governance",22.6,3,1,5
967,"C78",2020,"Education",38.9,4,1,4
968,"C72",2010,"Education",8.5,8,1,2
969,"C31",2018,"Infrastructure",31.6,2,1,3
970,"C49",2001,"Infrastructure",11.9,5,1,3
971,"C65",2017,"Infrastructure",7.8,5,1,2
972,"C21",2023,"Infrastructure",4.3,3,1,4
973,"C29",2015,"Education",55.2,6,1,4
974,"C27",2005,"Education",17.5,7,1,5
975,"C68",2006,"Health",27.8,5,1,2
976,"C90",2002,"Governance",15.1,5,0,NA
977,"C20",2023,"Education",2.6,3,1,3
978,"C17",2009,"Infrastructure",51.8,4,1,3
979,"C32",2017,"Governance",3.9,2,0,NA
980,"C76",2008,"Other",14.5,5,1,4
981,"C12",2015,"Governance",3.7,8,1,5
982,"C37",2023,"Health",4.8,6,1,4
983,"C67",2010,"Health",2.6,3,1,2
984,"C15",2019,"Health",13.1,4,0,NA
985,"C16",2004,"Education",24.4,2,1,3
986,"C10",2019,"Other",21.6,3,1,2
987,"C19",2024,"Other",27.4,5,1,3
988,"C39",2017,"Other",22.6,3,1,4
989,"C57",2010,"Education",33.4,4,1,3
990,"C48",2023,"Other",7.9,8,1,3
991,"C37",2023,"Infrastructure",2.5,4,1,4
992,"C20",2024,"Infrastructure",4.7,8,0,NA
993,"C40",2010,"Other",2.7,2,0,NA
994,"C88",2002,"Other",2.2,2,1,3
995,"C84",2018,"Health",2.6,4,1,4
996,"C74",2021,"Education",13.9,8,1,2
997,"C62",2002,"Health",28.6,6,1,4
998,"C34",2015,"Education",7.3,3,1,3
999,"C83",2004,"Education",87.7,1,1,5
1000,"C02",2009,"Health",21.2,3,1,3
1001,"C78",2024,"Education",20.8,1,1,4
1002,"C36",2023,"Other",19,2,0,NA
1003,"C40",2021,"Governance",10.3,1,1,5
1004,"C82",2003,"Infrastructure",27,5,1,5
1005,"C03",2024,"Other",8.9,8,1,3
1006,"C65",2024,"Health",9.4,4,1,3
1007,"C71",2008,"Health",18.5,2,1,3
1008,"C55",2002,"Health",2.9,2,1,4
1009,"C01",2023,"Infrastructure",16,5,1,3
1010,"C69",2015,"Education",4.7,5,1,4
1011,"C06",2022,"Infrastructure",6.8,5,1,2
1012,"C34",2012,"Other",8,7,1,3
1013,"C20",2002,"Other",31.7,5,1,2
1014,"C30",2022,"Education",20.1,1,0,NA
1015,"C30",2005,"Infrastructure",33.5,5,1,5
1016,"C35",2000,"Education",14,2,1,3
1017,"C41",2001,"Health",9.9,8,1,3
1018,"C38",2010,"Education",20.8,2,1,1
1019,"C73",2023,"Infrastructure",41.2,1,1,3
1020,"C59",2017,"Infrastructure",16.9,1,1,4
1021,"C89",2018,"Governance",6.4,3,1,5
1022,"C04",2002,"Governance",29.4,5,1,4
1023,"C75",2023,"Health",25.3,2,0,NA
1024,"C78",2002,"Governance",16,2,1,3
1025,"C29",2010,"Infrastructure",6.6,7,1,3
1026,"C88",2002,"Governance",39.7,2,1,3
1027,"C40",2008,"Education",41.2,2,1,4
1028,"C21",2009,"Education",5.1,4,1,2
1029,"C53",2018,"Education",4.5,5,1,3
1030,"C82",2023,"Governance",34.2,5,1,4
1031,"C49",2016,"Infrastructure",7.6,4,1,4
1032,"C58",2020,"Education",34.6,8,1,4
1033,"C87",2005,"Education",66.5,8,0,NA
1034,"C45",2011,"Infrastructure",19.9,8,1,3
1035,"C39",2016,"Other",17.6,5,1,2
1036,"C64",2013,"Infrastructure",5.1,1,1,3
1037,"C05",2003,"Other",3,7,1,3
1038,"C25",2024,"Governance",45.2,1,1,2
1039,"C75",2006,"Other",4.1,7,0,NA
1040,"C43",2014,"Education",2.9,4,0,NA
1041,"C17",2009,"Infrastructure",69.1,6,1,5
1042,"C58",2020,"Health",3.6,2,1,5
1043,"C73",2020,"Education",6,4,0,NA
1044,"C80",2004,"Education",5.4,2,0,NA
1045,"C84",2003,"Health",9.1,7,1,3
1046,"C70",2012,"Infrastructure",21.4,1,1,2
1047,"C50",2009,"Health",13.1,7,1,4
1048,"C38",2019,"Governance",12,8,1,1
1049,"C02",2010,"Other",167.2,5,1,2
1050,"C17",2004,"Governance",15.3,5,1,4
1051,"C58",2006,"Education",2.2,6,1,3
1052,"C70",2016,"Governance",16.3,6,0,NA
1053,"C33",2023,"Health",25,4,1,2
1054,"C80",2000,"Health",9.2,3,1,3
1055,"C28",2018,"Health",11.5,8,1,3
1056,"C44",2018,"Infrastructure",5,5,0,NA
1057,"C22",2023,"Governance",22.1,3,1,3
1058,"C64",2002,"Education",19.2,3,1,5
1059,"C73",2023,"Governance",13.3,8,1,5
1060,"C06",2005,"Health",7.5,4,0,NA
1061,"C85",2018,"Health",2.6,8,1,5
1062,"C71",2004,"Infrastructure",6.8,6,1,5
1063,"C15",2005,"Infrastructure",5,2,1,4
1064,"C64",2014,"Infrastructure",25.1,6,0,NA
1065,"C87",2000,"Health",16,6,0,NA
1066,"C90",2015,"Education",59.1,3,0,NA
1067,"C83",2024,"Infrastructure",6.4,7,0,NA
1068,"C62",2023,"Health",28.9,2,1,3
1069,"C01",2012,"Governance",36.7,1,0,NA
1070,"C62",2011,"Other",8.3,8,1,3
1071,"C19",2004,"Infrastructure",2.6,3,1,3
1072,"C41",2021,"Other",4,7,1,3
1073,"C82",2013,"Education",14.8,8,1,2
1074,"C53",2008,"Infrastructure",8.7,5,1,4
1075,"C78",2019,"Health",63.1,8,1,1
1076,"C19",2024,"Other",67.2,4,1,4
1077,"C20",2013,"Education",12.4,8,1,4
1078,"C77",2013,"Other",64.1,2,0,NA
1079,"C88",2012,"Health",4.6,3,1,2
1080,"C74",2009,"Health",4.8,5,0,NA
1081,"C15",2018,"Education",26,5,1,4
1082,"C66",2016,"Health",26,5,1,3
1083,"C31",2007,"Other",41.1,8,1,2
1084,"C23",2016,"Health",7.5,6,1,3
1085,"C81",2019,"Infrastructure",43.4,3,0,NA
1086,"C30",2022,"Health",17.9,6,0,NA
1087,"C12",2010,"Infrastructure",11.9,4,1,4
1088,"C41",2010,"Education",22.4,4,1,2
1089,"C32",2011,"Health",2.4,6,1,2
1090,"C09",2023,"Health",3.3,3,1,1
1091,"C21",2014,"Infrastructure",65.6,7,1,3
1092,"C29",2003,"Governance",15.6,7,0,NA
1093,"C68",2018,"Other",18.9,3,1,4
1094,"C46",2003,"Infrastructure",16.7,3,0,NA
1095,"C72",2000,"Health",17.5,2,1,2
1096,"C22",2001,"Education",31.4,3,0,NA
1097,"C72",2017,"Health",18.3,2,1,4
1098,"C62",2005,"Health",19.1,6,0,NA
1099,"C09",2016,"Infrastructure",15.3,7,1,4
1100,"C56",2002,"Education",29.7,5,1,5
1101,"C20",2011,"Other",24.4,4,1,2
1102,"C31",2009,"Health",31.8,8,0,NA
1103,"C27",2013,"Infrastructure",47.7,6,0,NA
1104,"C02",2003,"Other",34,2,1,5
1105,"C06",2018,"Infrastructure",3.1,6,1,5
1106,"C83",2020,"Health",15.5,5,1,4
1107,"C48",2002,"Education",20.7,7,0,NA
1108,"C84",2021,"Governance",22.6,7,1,3
1109,"C43",2016,"Governance",16.7,1,1,3
1110,"C19",2012,"Infrastructure",35.8,3,1,5
1111,"C57",2007,"Governance",15.4,6,0,NA
1112,"C82",2006,"Education",15.6,4,1,1
1113,"C81",2010,"Infrastructure",10.2,3,1,4
1114,"C14",2002,"Education",3.7,1,0,NA
1115,"C06",2018,"Education",11.7,5,0,NA
1116,"C18",2005,"Health",24.8,1,0,NA
1117,"C16",2024,"Health",28.6,4,0,NA
1118,"C40",2003,"Other",18.9,5,1,1
1119,"C38",2020,"Education",7.1,3,1,5
1120,"C17",2007,"Infrastructure",12.2,6,1,2
1121,"C22",2005,"Education",9.6,3,0,NA
1122,"C60",2019,"Infrastructure",33.8,8,1,5
1123,"C46",2021,"Infrastructure",63.9,6,0,NA
1124,"C81",2021,"Governance",26.3,2,0,NA
1125,"C45",2013,"Other",23,6,1,3
1126,"C66",2014,"Health",25.6,1,1,5
1127,"C36",2000,"Other",6.1,1,1,3
1128,"C87",2011,"Governance",8.8,2,1,4
1129,"C20",2007,"Governance",36.7,3,0,NA
1130,"C82",2024,"Other",21.2,4,1,1
1131,"C65",2009,"Education",34.3,5,0,NA
1132,"C27",2022,"Health",28.5,4,1,2
1133,"C03",2017,"Infrastructure",7.8,4,1,3
1134,"C38",2022,"Other",9.4,6,1,5
1135,"C58",2006,"Education",31.7,2,1,4
1136,"C01",2007,"Other",14.9,1,1,3
1137,"C89",2005,"Governance",11.8,8,1,5
1138,"C66",2023,"Governance",35,1,1,5
1139,"C12",2016,"Health",13.5,6,1,3
1140,"C14",2018,"Education",18.5,6,1,4
1141,"C90",2007,"Education",3.4,5,0,NA
1142,"C26",2018,"Infrastructure",14.5,5,1,4
